"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C4,C9","4","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C3,C5,C6,C7,C8","5","0u1F","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C10","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1,D2,D3,D4,D5,D6,D7,D8,D9","9","SK6812MINI-E","","","","footprints:SK6812MINI-E_fixed","https://cdn-shop.adafruit.com/product-files/4960/4960_SK6812MINI-E_REV02_EN.pdf"
"D10,D12,D13","3","LESD5D5.0CT1G","","","","LESD5D5.0CT1G:TVS_LESD5D5.0CT1G",""
"D11","1","1N5819HW-7-F","","","","1N5819HW-7-F:SOD3715X145N",""
"D15","1","LTST-C190KGKT","","","","LTST-C190KGKT:LEDC1608X35N",""
"J1","1","TYPE-C-31-M-12","","","","TYPE-C-31-M-12:HRO_TYPE-C-31-M-12",""
"J3","1","Conn_01x03","","","","Connector_PinSocket_2.00mm:PinSocket_1x03_P2.00mm_Vertical","~"
"JP1","1","~","","","","Adafruit:1X11_ROUND_76",""
"R1,R2,R3,R4,R5,R6,R7,R8,R10,R13,R14,R15","12","10k","","","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~"
"R9,R11","2","5k1","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R12","1","75","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"SW1,SW2,SW3","3","PTS810_SJM_250_SMTR_LFS","","","","BUTTONS:SW_PTS810_SJM_250_SMTR_LFS",""
"U1,U3,U5,U6,U7,U8,U9,U10,U11","9","~","","","","randomahhconnector:2 pin connector",""
"U2","1","~","","","","esp32devboard:analog_16_multiplexer_module",""
"U12","1","ESP32-S3-WROOM-1-N16R2","","","","ESP32-S3-WROOM-1-N16R2:XCVR_ESP32-S3-WROOM-1-N16R2",""
"U13","1","AMS1117-3.3","","","","AMS1117-3.3:SOT229P700X180-4N",""
