Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C9",0805,4,10uF,
C10,0805,1,1uF,
"C3, C5, C6, C7, C8",0805,5,0u1F,
"D1, D2, D3, D4, D5, D6, D7, D8, D9",SK6812MINI-E_fixed,9,SK6812MINI-E,
"D10, D12, D13",TVS_LESD5D5.0CT1G,3,LESD5D5.0CT1G,
D11,SOD3715X145N,1,1N5819HW-7-F,
D15,LEDC1608X35N,1,LTST-C190KGKT,
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
J3,PinSocket_1x03_P2.00mm_Vertical,1,Conn_01x03,
JP1,1X11_ROUND_76,1,~,
"R1, R10, R13, R14, R15, R2, R3, R4, R5, R6, R7, R8",0603,12,10k,
"R11, R9",0805,2,5k1,
R12,0805,1,75,
"SW1, SW2, SW3",SW_PTS810_SJM_250_SMTR_LFS,3,PTS810_SJM_250_SMTR_LFS,
"U1, U10, U11, U3, U5, U6, U7, U8, U9",2 pin connector,9,~,
U12,XCVR_ESP32-S3-WROOM-1-N16R2,1,ESP32-S3-WROOM-1-N16R2,
U13,SOT229P700X180-4N,1,AMS1117-3.3,
U2,analog_16_multiplexer_module,1,~,
