Designator,Mid X,Mid Y,Rotation,Layer
A1,79.635,-88.285,0.0,bottom
A2,113.235,-88.835,0.0,bottom
A3,147.185,-88.185,0.0,bottom
A4,79.51,-116.71,0.0,bottom
A5,112.86,-116.835,0.0,bottom
A6,147.06,-116.71,0.0,bottom
A7,79.585,-144.585,0.0,bottom
A8,113.17,-145.23,0.0,bottom
A9,147.01,-144.61,0.0,bottom
D1,146.550002,-69.65,0.0,top
D2,113.300003,-70.072158,0.0,top
D3,79.375002,-69.7,0.0,top
D4,146.412502,-98.45,0.0,top
D5,113.537502,-98.625,0.0,top
D6,79.537502,-98.125,0.0,top
D7,147.000002,-125.85,0.0,top
D8,113.225003,-126.897158,0.0,top
D9,79.487502,-126.15,0.0,top
J2,84.685,-47.515,90.0,top
R1,90.025,-87.085,270.0,bottom
R2,90.2,-114.11,270.0,bottom
R3,89.275,-141.46,270.0,bottom
R4,123.1,-86.29,270.0,bottom
R5,122.475,-115.24,270.0,bottom
R6,122.2,-141.76,270.0,bottom
R7,156.825,-85.24,270.0,bottom
R8,156.9,-113.585,270.0,bottom
R9,156.25,-143.59,270.0,bottom
SW1,76.85,-59.875,0.0,top
U2,166.855,-53.68,90.0,top
U4,70.48,-42.09,0.0,bottom
